timestamp,frame,model,class,confidence
2025-04-09 01:05:45,73,FishInv,Class_7,0.674
2025-04-09 01:05:48,116,FishInv,Class_4,0.863
2025-04-09 01:12:31,97,FishInv,Class_4,0.648
2025-04-09 01:12:33,136,FishInv,Parrotfish,0.845
2025-04-09 01:12:51,72,FishInv,Class_4,0.904
2025-04-09 01:12:51,72,FishInv,Parrotfish,0.882
2025-04-09 01:13:20,87,FishInv,Class_7,0.573
2025-04-09 01:13:50,627,FishInv,Class_4,0.638
2025-04-09 01:14:30,76,FishInv,Class_7,0.631
2025-04-09 01:17:21,100,FishInv,Class_4,0.844
2025-04-09 01:17:21,100,FishInv,Parrotfish,0.829
2025-04-09 09:31:54,309,FishInv,Class_4,0.562
2025-04-09 09:31:57,367,FishInv,Class_7,0.697
2025-04-09 11:18:05,176,FishInv,Snapper,0.726
2025-04-09 11:18:14,327,FishInv,Class_10,0.566
2025-04-09 11:18:25,514,MegaFauna,Shark,0.568
2025-04-09 11:19:19,1432,FishInv,Class_4,0.636
2025-04-09 11:19:26,1556,FishInv,Class_7,0.788
2025-04-09 11:19:27,1572,MegaFauna,Ray,0.694
2025-04-09 11:19:28,1588,FishInv,Parrotfish,0.853
2025-04-09 15:53:20,377,MegaFauna,Ray,0.553
2025-04-09 15:53:27,478,MegaFauna,Shark,0.702
2025-04-28 22:52:48,135,FishInv,7,0.613
2025-04-28 22:53:16,638,FishInv,1,0.831
2025-04-28 22:53:21,729,FishInv,1,0.694
2025-04-28 22:53:26,814,FishInv,1,0.762
2025-04-28 22:53:31,896,FishInv,1,0.718
2025-04-28 22:53:35,980,FishInv,1,0.722
2025-04-28 22:53:40,1064,FishInv,1,0.712
2025-04-28 22:54:00,1407,FishInv,1,0.742
2025-04-28 22:54:28,1913,FishInv,12,0.861
2025-04-28 22:54:33,2002,FishInv,12,0.664
2025-04-28 22:54:37,2078,FishInv,12,0.699
2025-04-28 22:54:51,2321,FishInv,7,0.647
2025-04-28 22:55:04,2564,FishInv,7,0.554
2025-04-28 22:55:09,2646,FishInv,7,0.539
2025-04-28 22:55:45,3312,FishInv,12,0.798
2025-04-28 22:55:50,3396,FishInv,12,0.713
2025-04-28 22:55:54,3482,FishInv,12,0.85
2025-04-28 22:55:59,3566,FishInv,12,0.824
2025-04-28 22:56:04,3649,FishInv,12,0.748
2025-04-28 22:56:08,3732,FishInv,12,0.543
2025-04-28 22:56:13,3819,FishInv,12,0.695
2025-04-28 22:56:18,3901,FishInv,12,0.837
2025-04-28 22:56:22,3986,FishInv,12,0.851
2025-04-28 22:56:27,4068,FishInv,12,0.845
2025-04-28 22:56:32,4154,FishInv,12,0.61
